age,A2,C1,D2,D4,D8,D10,D15,job,F15,M8,E17,G1,J2,J4,J9,E1,E2,J17,M6,life_satisfaction
55,Very well,No,Never,Always,Sometimes,Never,Always,Holds an ordinary or supported job,8,Good,Parents,No,Less frequently,Less frequently,Less frequently,158,55,4,1600,High
42,Very well,No,Never,Often,Rarely,Always,Always,Holds an ordinary or supported job,7,Good,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Less frequently,Less frequently,182,83,4,0,High
17,Average,No,Rarely,Often,Rarely,Often,Always,Doesn't hold an ordinary or supported job,8,Good,Friends/colleagues,No,Refuse to answer,Daily,Once a month,169,61,1,1200,High
28,Well,No,Sometimes,Sometimes,Often,Rarely,Sometimes,Doesn't hold an ordinary or supported job,8,Very bad,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Several times a week,Once a month,165,65,2,2000,Medium
35,Well,No,Rarely,Sometimes,Sometimes,Often,Often,Holds an ordinary or supported job,8,Very good,Partner/spouse/boy-/girlfriend,Yes,Once a week,Never,Less frequently,168,68,3,0,High
43,Well,Yes,Sometimes,Often,Always,Often,Often,Holds an ordinary or supported job,8,Bad,Partner/spouse/boy-/girlfriend,Yes,Once a month,Less frequently,Less frequently,182,66,12,600,Low
22,Very well,No,Never,Always,Often,Always,Often,Doesn't hold an ordinary or supported job,7,Bad,Partner/spouse/boy-/girlfriend,Yes,Once a month,Once a week,Once a month,162,60,2,0,High
24,Poor,Yes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Doesn't hold an ordinary or supported job,9,Average,Parents,No,Less frequently,Several times a month,Several times a month,173,63,0,3000,Low
38,Well,Yes,Never,Often,Rarely,Often,Always,Holds an ordinary or supported job,9,Very good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a month,Less frequently,182,95,1,200,High
21,Average,No,Rarely,Sometimes,Sometimes,Often,Sometimes,Doesn't hold an ordinary or supported job,7,Average,Parents,No,Less frequently,Once a month,Less frequently,165,65,3,200,High
52,Very well,Yes,Rarely,Sometimes,Sometimes,Often,Often,Holds an ordinary or supported job,9,Very good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a week,Less frequently,180,80,1,300,High
18,Well,Yes,Never,Often,Never,Sometimes,Sometimes,Doesn't hold an ordinary or supported job,9,Average,Parents,Yes,Several times a month,Daily,Once a month,174,74,1,200,High
58,Average,No,Rarely,Sometimes,Sometimes,Often,Always,Holds an ordinary or supported job,8,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a week,Several times a month,Once a month,175,60,0,8000,High
24,Average,No,Sometimes,Sometimes,Often,Often,Rarely,,6,Bad,Friends/colleagues,Yes,Never,Less frequently,Several times a month,166,53,2,0,High
57,Well,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Holds an ordinary or supported job,7,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a week,Several times a month,Once a month,162,69,0,2000,High
45,Well,Yes,Never,Often,Rarely,Always,Often,Doesn't hold an ordinary or supported job,0,Average,Parents,Yes,Several times a week,Several times a month,Less frequently,172,57,10,2500,High
40,Poor,No,Always,Often,Often,Rarely,Often,Doesn't hold an ordinary or supported job,9,Bad,Partner/spouse/boy-/girlfriend,Yes,Daily,Less frequently,Less frequently,176,62,5,300,High
20,Well,No,Rarely,Sometimes,Sometimes,Often,Often,Doesn't hold an ordinary or supported job,9,Average,Friends/colleagues,No,Several times a month,Once a month,Once a month,153,74,0,5000,High
49,Well,No,Never,Often,Rarely,Always,Often,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a month,Less frequently,187,83,1,0,High
22,Very well,No,Often,Always,Never,Always,Always,Doesn't hold an ordinary or supported job,7,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a week,Several times a month,Once a week,176,63,0,8000,High
40,Very well,No,Never,Always,Rarely,Always,Always,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a week,Several times a week,Several times a month,185,110,4,1000,High
37,Average,No,Sometimes,Often,Often,Always,Often,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Once a month,Several times a month,Less frequently,174,68,1,1000,High
37,Average,Yes,Often,Rarely,Often,Sometimes,Often,Doesn't hold an ordinary or supported job,9,Average,Friends/colleagues,Yes,Several times a month,Less frequently,Less frequently,189,107,0,3500,Low
27,Average,No,Rarely,Often,Rarely,Always,Sometimes,Doesn't hold an ordinary or supported job,7,Good,I dont share this with anyone,No,Several times a week,Once a month,Less frequently,163,61,1,500,High
37,Average,No,Never,Often,Sometimes,Often,Often,Holds an ordinary or supported job,7,Average,Partner/spouse/boy-/girlfriend,Yes,Once a month,Once a month,Once a week,173,76,1,1000,High
19,Well,No,Never,Sometimes,Sometimes,Sometimes,Rarely,Doesn't hold an ordinary or supported job,6,Average,Friends/colleagues,No,Once a week,Several times a week,Several times a month,188,82,4,3400,High
54,Average,No,Sometimes,Often,Sometimes,Often,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a week,Once a month,169,68,7,500,Medium
53,Well,No,Rarely,Often,Sometimes,Often,Often,Holds an ordinary or supported job,8,Very good,Partner/spouse/boy-/girlfriend,Yes,Once a week,Once a week,Once a month,187,83,2,0,High
43,Well,No,Rarely,Often,Sometimes,Sometimes,Often,Holds an ordinary or supported job,9,Good,Friends/colleagues,No,Several times a month,Several times a month,Less frequently,177,75,5,0,High
17,Well,No,Sometimes,Often,Often,Often,Sometimes,Doesn't hold an ordinary or supported job,6,Good,Parents,Yes,Once a month,Refuse to answer,Once a month,183,80,2,0,High
39,Well,No,Rarely,Often,Sometimes,Often,Often,Holds an ordinary or supported job,9,Bad,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a month,Once a month,160,53,7,1000,Medium
56,Well,No,Rarely,Often,Sometimes,Often,Sometimes,Holds an ordinary or supported job,7,Average,Partner/spouse/boy-/girlfriend,Yes,Once a month,Once a week,Never,170,70,0,200,Medium
50,Well,Yes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Holds an ordinary or supported job,7,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Once a month,Less frequently,168,75,1,2500,High
63,Well,No,Never,Always,Sometimes,Always,Always,Doesn't hold an ordinary or supported job,8,Average,Others,No,Several times a month,Several times a week,Less frequently,160,57,2,500,High
55,Well,No,Sometimes,Sometimes,Often,Rarely,Always,Holds an ordinary or supported job,8,Average,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Less frequently,Less frequently,180,68,0,1000,High
58,Average,Yes,Sometimes,Rarely,Often,Rarely,Often,Holds an ordinary or supported job,7,Very good,Siblings,No,Several times a week,Several times a week,Once a month,180,98,3,600,High
47,Average,Yes,Sometimes,Rarely,Often,Sometimes,Often,Doesn't hold an ordinary or supported job,6,Bad,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Several times a month,Less frequently,192,86,1,0,Low
51,Well,No,Rarely,Often,Rarely,Often,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a month,Less frequently,165,68,1,500,High
34,Very poor,Yes,Rarely,Often,Sometimes,Often,Often,Holds an ordinary or supported job,7,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a week,Less frequently,188,83,2,0,High
45,Well,No,Rarely,Often,Rarely,Always,Often,Holds an ordinary or supported job,8,Very good,Friends/colleagues,Yes,Several times a month,Several times a month,Less frequently,170,78,0,300,High
39,Well,No,Never,Often,Rarely,Often,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a week,Once a month,Less frequently,175,74,2,150,High
49,Average,Yes,Never,Often,Sometimes,Sometimes,Always,Holds an ordinary or supported job,9,Average,Siblings,Yes,Once a month,Once a week,Several times a month,155,60,0,200,High
37,Very well,No,Never,Always,Rarely,Sometimes,Often,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a month,Less frequently,167,92,2,10000,High
28,Average,No,Rarely,Rarely,Always,Sometimes,Often,Holds an ordinary or supported job,8,Very bad,Friends/colleagues,Yes,Several times a month,Once a week,Once a month,158,77,2,5000,High
17,Well,Yes,Rarely,Often,Often,Often,Often,Doesn't hold an ordinary or supported job,4,Very bad,Parents,No,Once a month,Daily,Less frequently,173,64,5,1000,High
43,Very well,No,Never,Always,Rarely,Always,Always,Holds an ordinary or supported job,9,Bad,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Once a month,Less frequently,192,102,2,250,High
53,Well,No,Rarely,Often,Sometimes,Rarely,Often,Holds an ordinary or supported job,8,Very good,Partner/spouse/boy-/girlfriend,Yes,Several times a week,Several times a week,Less frequently,170,56,0,0,High
32,Well,No,Never,Often,Rarely,Often,Often,Holds an ordinary or supported job,8,Very good,Partner/spouse/boy-/girlfriend,Yes,Several times a week,Several times a week,Less frequently,182,98,0,250,High
49,Average,No,Rarely,Sometimes,Sometimes,Often,Often,Holds an ordinary or supported job,6,Bad,Other family,Yes,Several times a week,Less frequently,Less frequently,165,60,0,200,Medium
56,Average,Yes,Sometimes,Sometimes,Rarely,Often,Sometimes,Holds an ordinary or supported job,9,Good,I dont share this with anyone,Yes,Less frequently,Less frequently,Less frequently,175,95,1,2000,Low
56,Average,No,Never,Always,Never,Always,Always,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Less frequently,Less frequently,198,75,1,0,High
62,Well,No,Rarely,Often,Rarely,Often,Sometimes,Holds an ordinary or supported job,6,Average,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Less frequently,Once a month,210,125,3,300,High
17,Very well,No,Never,Always,Sometimes,Sometimes,Always,Doesn't hold an ordinary or supported job,7,Very good,Parents,Yes,Once a week,Once a month,Once a week,180,68,3,0,High
31,Well,No,Sometimes,Often,Rarely,Always,Often,Holds an ordinary or supported job,7,Good,Friends/colleagues,No,Less frequently,Once a week,Less frequently,187,95,2,500,High
33,Average,Yes,Rarely,Often,Rarely,Often,Often,Holds an ordinary or supported job,7,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a week,Several times a month,Once a month,180,83,3,1000,High
22,Well,No,Rarely,Often,Sometimes,Always,Often,Doesn't hold an ordinary or supported job,7,Average,Parents,No,Several times a month,Once a month,Several times a month,182,78,1,200,High
52,Average,No,Sometimes,Often,Always,Always,Always,Holds an ordinary or supported job,8,Bad,Partner/spouse/boy-/girlfriend,Yes,Daily,Less frequently,Never,179,69,1,0,High
43,Well,Yes,Never,Always,Rarely,Always,Sometimes,Holds an ordinary or supported job,9,Very good,Partner/spouse/boy-/girlfriend,Yes,Once a week,Once a month,Once a month,185,90,0,0,High
62,Well,Yes,Sometimes,Often,Often,Sometimes,Always,Doesn't hold an ordinary or supported job,3,Good,Children,No,Several times a week,Several times a week,Never,156,47,0,100,Medium
52,Well,No,Rarely,Often,Rarely,Often,Sometimes,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a week,Less frequently,184,73,1,1000,High
45,Well,No,Rarely,Sometimes,Sometimes,Sometimes,Often,Holds an ordinary or supported job,6,Good,I dont share this with anyone,Yes,Refuse to answer,Less frequently,Never,165,90,1,3600,High
59,Well,No,Rarely,Often,Sometimes,Often,Always,Holds an ordinary or supported job,7,Very good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Once a month,Once a month,192,92,15,500,High
54,Average,No,Rarely,Often,Rarely,Often,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a month,Several times a month,176,68,1,1600,High
47,Average,No,Rarely,Sometimes,Often,Sometimes,Sometimes,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Several times a month,Less frequently,168,81,0,6000,High
64,Well,No,Rarely,Often,Sometimes,Often,Often,Doesn't hold an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Several times a week,Once a month,172,80,2,300,High
54,Well,No,Never,Often,Rarely,Always,Always,Holds an ordinary or supported job,8,Average,Partner/spouse/boy-/girlfriend,Yes,Once a month,Less frequently,Once a month,184,89,0,5000,High
39,Well,No,Never,Sometimes,Rarely,Rarely,Often,Holds an ordinary or supported job,7,Good,Friends/colleagues,Yes,Several times a month,Once a week,Less frequently,180,110,1,150,High
49,Average,No,Sometimes,Often,Sometimes,Rarely,Never,Doesn't hold an ordinary or supported job,3,Good,Friends/colleagues,No,Several times a month,Less frequently,Never,170,62,1,600,High
41,Well,No,Never,Often,Rarely,Often,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,99,Several times a week,Less frequently,164,65,2,500,High
18,Well,No,Rarely,Often,Rarely,Often,Sometimes,Doesn't hold an ordinary or supported job,8,Good,Parents,No,Several times a month,Several times a month,Once a month,185,95,0,0,High
53,Very poor,Yes,Sometimes,Rarely,Often,Sometimes,Sometimes,Doesn't hold an ordinary or supported job,0,Very bad,Children,Yes,Less frequently,Never,Less frequently,177,73,2,1000,Low
61,Well,No,Never,Always,Rarely,Often,Often,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Once a week,Once a month,153,58,3,0,High
41,Well,No,Rarely,Often,Rarely,Often,Sometimes,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a month,Less frequently,160,90,3,50,High
44,Well,No,Never,Always,Never,Always,Always,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a week,Several times a month,184,87,1,500,High
64,Well,Yes,Rarely,Often,Rarely,Often,Always,Doesn't hold an ordinary or supported job,5,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a week,Once a week,Less frequently,175,77,2,0,High
16,Average,No,Sometimes,Sometimes,Always,Sometimes,Sometimes,Doesn't hold an ordinary or supported job,9,Average,Parents,No,Once a month,Less frequently,Less frequently,188,99,0,0,High
35,Well,Yes,Rarely,Often,Rarely,Often,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Daily,Several times a month,Less frequently,178,93,0,700,High
27,Very well,Yes,Rarely,Often,Sometimes,Often,Often,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a month,Several times a month,165,68,2,150,High
53,Poor,Yes,Often,Sometimes,Sometimes,Often,Rarely,Doesn't hold an ordinary or supported job,2,Very bad,I dont share this with anyone,No,Refuse to answer,Several times a week,Never,188,91,0,0,Medium
63,Well,No,Rarely,Often,Rarely,Always,Often,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a week,Once a month,157,46,1,1000,High
44,Very well,No,Rarely,Sometimes,Rarely,Sometimes,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Less frequently,Less frequently,164,53,0,300,High
28,Well,No,Sometimes,Sometimes,Often,Always,Often,Holds an ordinary or supported job,9,Good,Parents,Yes,Several times a month,Once a month,Once a month,186,118,2,3000,High
17,Average,No,Never,Sometimes,Always,Often,Never,,4,Refuse to answer,Parents,Yes,Never,Never,Never,175,125,3,300,Medium
55,Average,Yes,Never,Always,Often,Always,Always,Holds an ordinary or supported job,7,Average,Partner/spouse/boy-/girlfriend,Yes,Daily,Daily,Less frequently,172,80,0,1800,High
43,Poor,Yes,Rarely,Rarely,Often,Sometimes,Often,Holds an ordinary or supported job,8,Average,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Once a month,Less frequently,180,80,4,2000,High
56,Poor,Yes,Rarely,Often,Rarely,Often,Often,Holds an ordinary or supported job,5,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a month,Once a month,163,80,0,3000,High
21,Well,No,Never,Often,Often,Always,Always,Doesn't hold an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Less frequently,Once a month,170,102,1,0,High
17,Average,Yes,Sometimes,Rarely,Always,Rarely,Often,Doesn't hold an ordinary or supported job,6,Bad,Parents,Yes,Several times a month,Once a week,Less frequently,192,116,2,500,Medium
20,Average,Yes,Never,Often,Sometimes,Often,Sometimes,Doesn't hold an ordinary or supported job,6,Average,Parents,No,Once a month,Once a month,Several times a month,168,80,2,6000,High
32,Well,No,Rarely,Often,Sometimes,Rarely,Often,Holds an ordinary or supported job,8,Average,Friends/colleagues,No,Several times a month,Once a month,Once a month,175,112,0,300,High
53,Poor,Yes,Never,Sometimes,Sometimes,Rarely,Often,Doesn't hold an ordinary or supported job,7,Bad,Siblings,Yes,Several times a month,Once a month,Less frequently,164,72,9,5000,Low
64,Average,No,Never,Often,Never,Often,Always,Doesn't hold an ordinary or supported job,5,Good,Siblings,No,Less frequently,Once a week,Never,180,78,3,0,High
48,Average,No,Sometimes,Sometimes,Often,Sometimes,Often,Holds an ordinary or supported job,5,Average,Partner/spouse/boy-/girlfriend,Yes,Once a month,Once a week,Less frequently,166,68,3,300,High
56,Well,No,Rarely,Always,Sometimes,Always,Always,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Once a week,Less frequently,172,78,2,0,High
17,Average,No,Rarely,Rarely,Rarely,Often,Often,Doesn't hold an ordinary or supported job,4,Bad,Parents,No,Less frequently,Once a month,Once a month,163,112,0,1500,Medium
24,Well,No,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Doesn't hold an ordinary or supported job,9,Bad,Partner/spouse/boy-/girlfriend,Yes,Never,Once a month,Less frequently,183,86,5,300,Medium
60,Average,Yes,Rarely,Sometimes,Always,Often,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Less frequently,Less frequently,173,54,0,200,High
54,Well,No,Rarely,Often,Sometimes,Rarely,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Once a week,Less frequently,174,75,2,4500,High
40,Well,No,Rarely,Often,Rarely,Sometimes,Often,Holds an ordinary or supported job,9,Good,Friends/colleagues,Yes,Several times a month,Less frequently,Less frequently,194,83,3,0,High
61,Average,Yes,Rarely,Often,Never,Always,Always,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Once a month,Several times a week,Several times a month,163,70,0,0,High
32,Very well,No,Never,Often,Rarely,Often,Often,Holds an ordinary or supported job,9,Good,Friends/colleagues,Yes,Several times a month,Once a month,Once a week,186,92,10,0,High
48,Well,Yes,Rarely,Often,Rarely,Often,Often,Holds an ordinary or supported job,7,Average,Partner/spouse/boy-/girlfriend,Yes,Once a month,Once a month,Once a month,175,73,1,5000,High
40,Average,No,Rarely,Often,Sometimes,Often,Often,Holds an ordinary or supported job,7,Average,Partner/spouse/boy-/girlfriend,Yes,Once a week,Once a month,Several times a month,168,64,2,0,Medium
27,Well,No,Rarely,Often,Sometimes,Often,Often,Doesn't hold an ordinary or supported job,7,Average,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Once a week,Once a week,170,65,1,2000,High
57,Average,No,Rarely,Often,Sometimes,Often,Often,Holds an ordinary or supported job,7,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Once a month,Less frequently,178,76,1,1000,High
49,Very well,No,Rarely,Always,Often,Often,Often,Holds an ordinary or supported job,9,Good,Friends/colleagues,No,Once a week,Several times a week,Never,159,92,0,12000,High
56,Well,No,Rarely,Often,Sometimes,Sometimes,Often,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Refuse to answer,Less frequently,170,68,2,1000,High
19,Very well,No,Sometimes,Always,Often,Always,Often,Holds an ordinary or supported job,7,Very bad,Siblings,No,Less frequently,Daily,Once a month,168,62,1,0,Medium
27,Well,No,Often,Often,Sometimes,Often,Always,Holds an ordinary or supported job,8,Average,Partner/spouse/boy-/girlfriend,Yes,Once a month,Several times a month,Several times a month,169,60,2,0,High
31,Average,Yes,Sometimes,Often,Often,Always,Sometimes,,9,Very bad,Partner/spouse/boy-/girlfriend,Yes,Once a week,Less frequently,Never,169,90,0,600,Low
21,Average,Yes,Never,Sometimes,Always,Often,Sometimes,Doesn't hold an ordinary or supported job,7,Very good,Friends/colleagues,No,Less frequently,Less frequently,Less frequently,180,90,2,10000,High
17,Average,No,Rarely,Sometimes,Often,Always,Sometimes,Doesn't hold an ordinary or supported job,9,Very good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a week,Never,170,58,3,30000,High
47,Very well,No,Rarely,Often,Rarely,Often,Often,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Less frequently,Less frequently,182,99,5,3000,High
62,Well,No,Never,Always,Never,Often,Often,Doesn't hold an ordinary or supported job,7,Good,Siblings,No,Daily,Once a week,Less frequently,173,81,3,0,High
32,Average,No,Sometimes,Often,Often,Sometimes,Often,Holds an ordinary or supported job,8,Good,Friends/colleagues,No,Less frequently,Several times a week,Several times a week,168,75,1,700,High
39,Well,No,Rarely,Sometimes,Sometimes,Often,Often,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Less frequently,Less frequently,188,66,0,900,Medium
25,Very well,No,Never,Sometimes,Sometimes,Often,Often,Holds an ordinary or supported job,9,Average,Parents,Yes,Once a month,Several times a month,Once a month,172,110,1,0,High
58,Average,Yes,Rarely,Often,Rarely,Often,Often,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a month,Once a month,165,65,1,2000,High
30,Well,No,Always,Often,Sometimes,Always,Always,Holds an ordinary or supported job,9,Good,Siblings,No,Once a month,Less frequently,Several times a month,170,75,1,4000,Medium
61,Poor,No,Sometimes,Sometimes,Never,Sometimes,Never,Holds an ordinary or supported job,4,Bad,Others,Yes,Several times a month,Less frequently,Less frequently,164,81,1,200,Medium
44,Well,No,Rarely,Often,Sometimes,Often,Often,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Once a month,Several times a month,Less frequently,163,65,2,600,High
40,Average,No,Sometimes,Never,Often,Sometimes,Sometimes,Holds an ordinary or supported job,9,Good,Other family,Yes,Several times a month,Several times a week,Less frequently,194,59,0,0,Medium
60,Well,Yes,Rarely,Often,Rarely,Sometimes,Rarely,Holds an ordinary or supported job,8,Average,Friends/colleagues,No,Less frequently,Daily,Less frequently,170,65,0,300,High
43,Well,No,Never,Always,Rarely,Often,Always,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Less frequently,Once a month,172,75,2,5000,High
54,Very well,No,Rarely,Sometimes,Rarely,Often,Sometimes,Holds an ordinary or supported job,8,Good,I dont share this with anyone,Yes,Less frequently,Once a week,Less frequently,165,58,0,0,High
51,Well,No,Rarely,Often,Rarely,Always,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Less frequently,Less frequently,164,51,0,0,High
53,Well,No,Sometimes,Often,Sometimes,Sometimes,Sometimes,Holds an ordinary or supported job,9,Good,Siblings,Yes,Once a month,Less frequently,Less frequently,193,83,2,1200,High
24,Poor,No,Often,Rarely,Always,Rarely,Sometimes,Doesn't hold an ordinary or supported job,4,Very bad,Others,No,Once a month,Several times a month,Several times a month,169,66,3,1000,Medium
17,Well,No,Rarely,Often,Sometimes,Sometimes,Often,Doesn't hold an ordinary or supported job,7,Average,Partner/spouse/boy-/girlfriend,Yes,Once a month,Daily,Less frequently,188,110,8,0,High
57,Well,No,Never,Often,Rarely,Often,Sometimes,Holds an ordinary or supported job,9,Good,Friends/colleagues,No,Once a week,Several times a month,Once a month,165,65,0,0,High
18,Very well,No,Never,Always,Rarely,Always,Often,Doesn't hold an ordinary or supported job,9,Very good,Friends/colleagues,Yes,Daily,Several times a week,Several times a week,173,63,1,500,High
28,Well,No,Rarely,Often,Often,Sometimes,Often,Holds an ordinary or supported job,8,Good,Friends/colleagues,No,Once a month,Several times a week,Once a month,172,65,2,0,High
56,Well,Yes,Rarely,Often,Sometimes,Often,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a week,Several times a month,Less frequently,180,74,0,10000,High
61,Well,Yes,Rarely,Often,Rarely,Often,Often,Doesn't hold an ordinary or supported job,4,Good,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Once a month,Less frequently,167,72,3,1700,High
34,Well,Yes,Rarely,Often,Rarely,Often,Often,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Once a week,Less frequently,Less frequently,169,60,0,0,High
51,Well,No,Never,Often,Never,Always,Always,Holds an ordinary or supported job,8,Very good,Friends/colleagues,Yes,Less frequently,Several times a month,Less frequently,190,83,3,2000,High
22,Well,No,Sometimes,Often,Often,Often,Sometimes,Doesn't hold an ordinary or supported job,7,Bad,Parents,No,Once a month,Once a week,Once a month,179,65,1,0,Medium
43,Well,No,Never,Always,Rarely,Always,Always,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Once a week,Once a week,Several times a month,160,70,0,1000,High
53,Well,No,Never,Often,Rarely,Often,Often,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a month,Once a month,186,80,1,0,High
17,Average,No,Sometimes,Rarely,Often,Often,Always,Doesn't hold an ordinary or supported job,8,Good,I dont share this with anyone,No,Several times a month,Several times a month,Several times a month,178,93,0,200,Low
43,Well,Yes,Rarely,Often,Sometimes,Often,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Several times a month,Once a month,163,66,2,0,High
20,Average,No,Rarely,Often,Sometimes,Often,Sometimes,Holds an ordinary or supported job,7,Good,Siblings,Yes,Several times a week,Once a month,Several times a month,188,100,20,3,High
16,Very well,No,Rarely,Often,Sometimes,Always,Often,Doesn't hold an ordinary or supported job,7,Average,Friends/colleagues,No,Several times a month,Daily,Once a month,175,81,1,0,High
53,Well,Yes,Never,Always,Rarely,Always,Always,Holds an ordinary or supported job,8,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Less frequently,Less frequently,168,61,2,1400,High
45,Well,No,Never,Often,Rarely,Often,Often,Doesn't hold an ordinary or supported job,8,Very good,Partner/spouse/boy-/girlfriend,Yes,Once a week,Several times a month,Less frequently,173,77,4,2000,High
31,Very well,No,Rarely,Often,Rarely,Often,Often,Holds an ordinary or supported job,7,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Less frequently,Less frequently,168,83,2,3000,High
17,Well,No,Never,Often,Often,Often,Sometimes,Doesn't hold an ordinary or supported job,7,Good,Parents,No,Once a week,Once a week,Once a month,182,85,1,2500,High
21,Well,No,Never,Often,Rarely,Always,Often,Holds an ordinary or supported job,7,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a week,Less frequently,178,87,0,600,High
56,Well,No,Never,Always,Never,Always,Always,Holds an ordinary or supported job,9,Very good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Refuse to answer,Less frequently,168,58,1,0,High
19,Average,No,Rarely,Sometimes,Often,Often,Sometimes,Doesn't hold an ordinary or supported job,7,Average,Friends/colleagues,No,Less frequently,Several times a week,Several times a month,168,65,0,99998,High
46,Well,No,Rarely,Always,Sometimes,Rarely,Always,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a month,Less frequently,181,87,1,0,High
52,Well,Yes,Sometimes,Rarely,Always,Sometimes,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a week,Less frequently,171,71,1,0,High
